top_x,top_y,n_sensor,n_demo,n_features,test_ohs_item_mae,test_ohs_item_rmse,test_sis_item_mae,test_sis_item_rmse,test_ohs_total_mae,test_ohs_total_rmse,test_sis_total_mae,test_sis_total_rmse,train_ohs_item_mae,train_ohs_item_rmse,train_sis_item_mae,train_sis_item_rmse,mean_test_item_mae,mean_train_item_mae,overfit_gap,epochs
12,1,18,2,20,1.2315,1.4442,0.7963,0.9946,7.1983,8.2787,2.6826,3.1386,0.9037,1.0708,0.8651,1.073,1.0139,0.8844,0.1295,60
44,0,45,0,45,1.1668,1.3846,0.8632,1.0825,7.3722,7.9174,2.578,3.3168,0.7603,0.9206,0.7231,0.8942,1.015,0.7417,0.2733,68
31,0,38,0,38,1.1865,1.3809,0.8485,1.0652,8.4461,9.3115,2.9128,3.5973,0.7665,0.9192,0.71,0.9015,1.0175,0.7382,0.2792,68
10,3,15,4,19,1.2216,1.4018,0.8149,1.0083,8.4246,9.5641,2.7452,3.138,0.8962,1.0607,0.8729,1.0678,1.0182,0.8846,0.1337,60
7,6,11,7,18,1.1879,1.3876,0.8561,1.0354,8.3475,9.4362,3.2228,3.7424,0.8452,1.0008,0.8367,1.0437,1.022,0.8409,0.1811,64
7,7,11,7,18,1.1879,1.3876,0.8561,1.0354,8.3475,9.4362,3.2228,3.7424,0.8452,1.0008,0.8367,1.0437,1.022,0.8409,0.1811,64
9,5,14,6,20,1.2097,1.4239,0.8351,1.0314,7.1124,8.1834,2.9898,3.4064,0.894,1.0611,0.8669,1.0743,1.0224,0.8804,0.142,60
13,6,19,7,26,1.2365,1.415,0.8088,0.985,7.8173,8.9218,2.7855,3.1021,0.9146,1.0793,0.8684,1.0464,1.0227,0.8915,0.1312,61
13,7,19,7,26,1.2365,1.415,0.8088,0.985,7.8173,8.9218,2.7855,3.1021,0.9146,1.0793,0.8684,1.0464,1.0227,0.8915,0.1312,61
28,0,35,0,35,1.0925,1.2796,0.9576,1.184,8.1461,8.8506,3.7121,4.8994,0.5982,0.7274,0.5261,0.7297,1.025,0.5622,0.4629,91
43,0,45,0,45,1.1874,1.4007,0.8644,1.082,7.7828,8.2896,2.656,3.4342,0.7596,0.9202,0.7233,0.8952,1.0259,0.7415,0.2844,68
12,0,18,0,18,1.2253,1.4144,0.8306,1.0641,9.8287,10.6611,2.6876,3.6752,0.5667,0.6895,0.5363,0.7071,1.0279,0.5515,0.4764,108
27,1,34,2,36,1.2692,1.4627,0.7916,0.9578,8.862,10.0607,2.7771,3.1965,0.8443,1.0107,0.8733,1.0525,1.0304,0.8588,0.1716,61
27,2,34,2,36,1.2692,1.4627,0.7916,0.9578,8.862,10.0607,2.7771,3.1965,0.8443,1.0107,0.8733,1.0525,1.0304,0.8588,0.1716,61
10,6,15,7,22,1.2598,1.4627,0.8026,0.982,8.7803,10.016,2.8,3.1904,0.8397,1.0008,0.8785,1.0515,1.0312,0.8591,0.1721,62
10,7,15,7,22,1.2598,1.4627,0.8026,0.982,8.7803,10.016,2.8,3.1904,0.8397,1.0008,0.8785,1.0515,1.0312,0.8591,0.1721,62
10,4,15,5,20,1.2466,1.463,0.8197,1.0158,7.481,8.4965,2.8361,3.1817,0.8932,1.0592,0.8752,1.0812,1.0331,0.8842,0.1489,60
16,3,24,4,28,1.2493,1.4504,0.8206,1.0196,8.3096,9.3031,2.7718,3.191,0.8737,1.0377,0.8157,0.986,1.035,0.8447,0.1903,62
36,0,41,0,41,1.2561,1.4193,0.8179,1.0103,8.5667,9.5056,2.9666,3.5822,0.7725,0.9333,0.6665,0.8511,1.037,0.7195,0.3175,68
7,4,11,5,16,1.2337,1.4294,0.8407,1.0018,8.2667,9.4349,2.9813,3.5683,0.8686,1.0365,0.816,0.9826,1.0372,0.8423,0.1949,62
10,5,15,6,21,1.2164,1.4196,0.8589,1.0298,7.827,9.1316,2.9461,3.3747,0.7951,0.9615,0.8083,0.9722,1.0377,0.8017,0.236,64
28,2,35,2,37,1.2182,1.4079,0.8595,1.0599,8.6822,9.548,2.8837,3.4716,0.8437,1.0137,0.8185,1.0183,1.0389,0.8311,0.2078,61
28,1,35,2,37,1.2182,1.4079,0.8595,1.0599,8.6822,9.548,2.8837,3.4716,0.8437,1.0137,0.8185,1.0183,1.0389,0.8311,0.2078,61
9,3,14,4,18,1.2683,1.4797,0.8097,0.9833,9.5983,10.7214,2.7537,3.0972,0.7209,0.8685,0.7242,0.9148,1.039,0.7226,0.3164,68
37,0,41,0,41,1.2567,1.4213,0.8214,1.0137,8.5865,9.5,3.0153,3.6246,0.774,0.9343,0.668,0.852,1.0391,0.721,0.3181,68
38,0,43,0,43,1.2255,1.4373,0.8577,1.0761,7.3043,8.4551,3.085,3.9299,0.7269,0.8866,0.7012,0.8845,1.0416,0.7141,0.3275,68
34,0,40,0,40,1.158,1.3631,0.9254,1.1537,6.5696,7.6377,3.2224,4.2624,0.5077,0.6305,0.5096,0.6665,1.0417,0.5087,0.533,122
5,0,8,0,8,1.2478,1.4761,0.8365,1.0208,8.1641,9.2456,2.7028,3.3349,0.7989,0.9598,0.7263,0.9259,1.0422,0.7626,0.2795,68
14,2,20,2,22,1.2665,1.4787,0.8209,1.0227,9.4493,10.598,2.8176,3.1013,0.8261,0.9861,0.8826,1.0668,1.0437,0.8544,0.1893,62
14,1,20,2,22,1.2665,1.4787,0.8209,1.0227,9.4493,10.598,2.8176,3.1013,0.8261,0.9861,0.8826,1.0668,1.0437,0.8544,0.1893,62
16,0,24,0,24,1.2165,1.4075,0.8718,1.1154,8.6952,9.7889,2.5844,3.7614,0.5809,0.7139,0.5912,0.7565,1.0442,0.5861,0.4581,91
6,2,10,2,12,1.2853,1.4843,0.8044,1.0003,8.6561,9.7845,2.5596,2.9998,0.8524,1.0216,0.8733,1.0877,1.0449,0.8628,0.182,63
6,1,10,2,12,1.2853,1.4843,0.8044,1.0003,8.6561,9.7845,2.5596,2.9998,0.8524,1.0216,0.8733,1.0877,1.0449,0.8628,0.182,63
14,5,20,6,26,1.2191,1.4013,0.8736,1.0587,7.7854,9.1132,3.1833,3.7031,0.9127,1.0797,0.8611,1.0363,1.0464,0.8869,0.1595,61
5,5,8,6,14,1.1932,1.3919,0.9014,1.0691,8.0619,9.3097,3.3799,3.9126,0.8802,1.0418,0.8758,1.0465,1.0473,0.878,0.1693,62
34,3,40,4,44,1.2762,1.458,0.8227,1.0486,8.9311,9.9787,2.893,3.2888,0.8546,1.0313,0.8705,1.08,1.0495,0.8625,0.1869,61
35,3,40,4,44,1.2773,1.4589,0.822,1.0478,8.9555,9.9974,2.8922,3.288,0.8552,1.0323,0.8708,1.0797,1.0496,0.863,0.1866,61
30,5,38,6,44,1.2852,1.4866,0.8165,1.0147,8.9479,10.1163,2.6969,3.1384,0.8478,1.0277,0.8685,1.0633,1.0509,0.8581,0.1927,61
29,6,36,7,43,1.3122,1.5022,0.7901,0.9443,9.1654,10.3203,2.844,3.2066,0.8456,1.0139,0.8894,1.072,1.0512,0.8675,0.1837,61
