top_x,top_y,n_sensor,n_demo,n_features,ohs_item_mae,ohs_item_rmse,sis_item_mae,sis_item_rmse,ohs_total_mae,ohs_total_rmse,sis_total_mae,sis_total_rmse,mean_item_mae,epochs
7,3,11,4,15,1.3567,1.5475,0.912,1.0878,10.1679,11.242,3.5212,4.1074,1.1343,62
46,2,46,2,48,1.3848,1.6038,0.888,1.1091,9.0249,10.8016,2.9269,3.6549,1.1364,74
45,1,46,2,48,1.3848,1.6038,0.888,1.1091,9.0249,10.8016,2.9269,3.6549,1.1364,74
45,2,46,2,48,1.3848,1.6038,0.888,1.1091,9.0249,10.8016,2.9269,3.6549,1.1364,74
46,1,46,2,48,1.3848,1.6038,0.888,1.1091,9.0249,10.8016,2.9269,3.6549,1.1364,74
17,2,25,2,27,1.3536,1.5655,0.9195,1.1788,9.7656,11.3015,3.1309,3.6879,1.1366,75
17,1,25,2,27,1.3536,1.5655,0.9195,1.1788,9.7656,11.3015,3.1309,3.6879,1.1366,75
6,4,10,5,15,1.3063,1.5089,0.9689,1.1615,8.7838,10.1857,3.8138,4.5701,1.1376,63
6,5,10,6,16,1.3024,1.4868,0.9744,1.1554,9.4883,10.842,3.7252,4.4205,1.1384,62
33,2,39,2,41,1.3357,1.5206,0.945,1.1522,9.293,10.5251,3.494,4.2433,1.1404,69
33,1,39,2,41,1.3357,1.5206,0.945,1.1522,9.293,10.5251,3.494,4.2433,1.1404,69
39,4,44,5,49,1.3247,1.5348,0.959,1.1533,9.3972,10.3366,3.7438,4.5247,1.1419,62
18,4,25,5,30,1.4432,1.6557,0.8528,1.0958,11.2565,12.7337,2.457,2.9837,1.148,125
38,1,43,2,45,1.3591,1.5721,0.9399,1.1742,9.8815,10.9844,3.1522,4.108,1.1495,105
38,2,43,2,45,1.3591,1.5721,0.9399,1.1742,9.8815,10.9844,3.1522,4.108,1.1495,105
38,5,43,6,49,1.3772,1.6068,0.9315,1.1668,10.3485,11.2317,3.7538,4.4119,1.1544,67
24,5,32,6,38,1.3416,1.5619,0.9706,1.1632,9.1701,10.5389,3.8726,4.3867,1.1561,63
10,0,15,0,15,1.3391,1.5185,0.9753,1.2345,10.3677,11.4438,4.2577,5.3359,1.1572,83
37,3,41,4,45,1.3668,1.545,0.953,1.1729,9.058,10.0203,3.4404,4.0642,1.1599,136
34,7,40,7,47,1.3983,1.6178,0.9302,1.1839,11.1215,12.2054,3.2228,3.7733,1.1642,88
